fecha,semana,dia_semana,clima,fatiga,congestion,backlog,dotacion,variabilidad
12/26/2024,7,Jueves,73.49433045,58.59833664,76.60580324,76.8791037,71.63914609,36.34361204
12/27/2024,7,Viernes,72.47895492,58.43596473,79.44539126,75.52435811,69.04872549,36.53017917
12/28/2024,7,Sábado,71.29178472,60.90707567,77.44916888,81.24679312,64.92610408,38.53550245
12/29/2024,7,Domingo,74.91898721,56.62937812,75.62876699,77.99583241,68.82908363,36.45539195
12/30/2024,8,Lunes,57.12876234,36.17378715,41.95276791,67.20809827,65.6053707,38.9317033
12/31/2024,8,Martes,56.75390821,41.12669093,37.79844143,63.57740275,63.82687184,39.60492955
1/1/2025,8,Miércoles,58.48191911,40.06691754,38.7563634,66.40274613,67.06212583,40.21708535
1/2/2025,8,Jueves,60.92525267,44.2357119,37.65479349,62.5330638,66.3899958,43.89308568
1/3/2025,8,Viernes,59.47900288,43.45366768,40.19286744,63.63822544,63.01861522,41.25882717
1/4/2025,8,Sábado,58.17008186,40.16255369,43.16693005,64.38643921,67.62801895,37.57091302
1/5/2025,8,Domingo,58.9321818,37.18571195,40.14599351,66.56015636,65.15037418,42.45410012
1/6/2025,9,Lunes,60.50164152,35.45068551,36.94506135,68.72335317,65.00747209,46.16479192
1/7/2025,9,Martes,59.85881132,33.2205078,36.59142458,67.5222385,64.17437281,46.41617824
1/8/2025,9,Miércoles,60.3038026,31.7979614,42.31148633,65.73709396,65.67264745,45.06253375
1/9/2025,9,Jueves,62.50261128,34.99689899,37.23031624,68.92794457,63.12282559,47.33260549
1/10/2025,9,Viernes,63.13688201,36.19918823,36.98575388,67.52729053,61.62417438,44.29396789
1/11/2025,9,Sábado,59.92684817,37.62613703,38.10107163,68.34099447,63.54970695,45.39515784
1/12/2025,9,Domingo,66.92975527,34.39971943,36.69917393,69.05938627,58.94856273,45.12791357
1/13/2025,10,Lunes,74.25657419,53.01537347,76.01551534,80.10797684,56.39518219,53.70694096
1/14/2025,10,Martes,69.22345759,55.58653863,75.56659884,78.41343621,61.08022542,52.43500276
1/15/2025,10,Miércoles,73.06696595,55.83438093,73.62266649,79.87468609,58.87270195,54.17813769
1/16/2025,10,Jueves,74.26555157,53.58648649,75.60489943,78.74414303,60.03137343,53.54253664
1/17/2025,10,Viernes,71.93140275,56.8248705,75.99905397,84.57736414,57.91205432,54.58207903
1/18/2025,10,Sábado,74.74298504,56.97873888,73.98578421,77.65791629,62.41561862,54.36669994
1/19/2025,10,Domingo,76.75728702,56.5243968,74.94021905,79.65137259,59.21687039,54.96961374
1/20/2025,11,Lunes,79.72620045,56.40711964,80.21769126,82.76273714,56.01178753,59.93812201
1/21/2025,11,Martes,74.07968398,62.12111723,77.61388009,84.91982297,60.33643544,58.27418932
1/22/2025,11,Miércoles,73.39460602,57.11010848,78.25035924,80.44725298,58.56977979,60.41418772
1/23/2025,11,Jueves,80.28465291,55.75835527,76.80172703,84.18655383,57.82331468,61.84269921
1/24/2025,11,Viernes,80.82113601,60.42895827,80.55308733,86.59899851,56.71901313,60.33679038
1/25/2025,11,Sábado,75.61741972,58.12537079,80.17729339,88.44425721,57.54203428,60.18008568
1/26/2025,11,Domingo,78.47392283,57.09035937,78.39501453,87.59762265,56.03816511,57.34416386
1/27/2025,12,Lunes,81.36053076,62.31562968,81.09718068,89.12789302,55.56508705,63.58429465
1/28/2025,12,Martes,78.43657496,61.75918518,83.2142622,92.62231777,52.49482198,63.99507503
1/29/2025,12,Miércoles,80.56235912,58.1487583,83.28337487,92.44925417,53.83328406,65.07718388
1/30/2025,12,Jueves,82.91123738,63.59854315,83.4916025,91.18685835,53.29252693,65.7184188
1/31/2025,12,Viernes,81.11364168,59.57925968,80.81044749,87.43740465,51.52454049,61.10423297
2/1/2025,12,Sábado,81.15888515,60.29539865,81.03237774,89.3370874,55.42094108,64.67087386
2/2/2025,12,Domingo,77.31889364,61.82600044,82.60825234,90.53179696,56.67512541,63.37270929
