id_auditoria_final,fecha,semana,id_area,riesgo_focal,tipo_auditoria,origen,rol_auditor_id,id_evento_asociado
AUF_000079,1/11/2025,9,CHP,R01,AUF,planificada,CHP_ROL_06,
AUF_000029,1/11/2025,9,STM,R01,AUF,reactiva,STM_ROL_08,
AUF_000031,1/12/2025,9,STM,R02,AUF,reactiva,STM_ROL_03,
AUF_000032,1/14/2025,10,CHP,R02,AUF,reactiva,CHP_ROL_04,
AUF_000085,1/14/2025,10,PLC,R03,AUF,planificada,PLC_ROL_06,
AUF_000082,1/15/2025,10,CHP,R02,AUF,planificada,CHP_ROL_07,
AUF_000033,1/15/2025,10,PLC,R03,AUF,reactiva,PLC_ROL_06,
AUF_000075,1/15/2025,10,PLC,R01,AUF,planificada,PLC_ROL_09,
AUF_000077,1/16/2025,10,STM,R01,AUF,planificada,STM_ROL_05,
AUF_000034,1/16/2025,10,TME,R02,AUF,reactiva,TME_ROL_04,
AUF_000035,1/17/2025,10,STM,R01,AUF,reactiva,STM_ROL_03,
AUF_000036,1/19/2025,10,CHP,R02,AUF,reactiva,CHP_ROL_01,
AUF_000086,1/21/2025,11,MRA,R03,AUF,planificada,MRA_ROL_02,
AUF_000037,1/21/2025,11,STM,R02,AUF,reactiva,STM_ROL_03,
AUF_000038,1/22/2025,11,TME,R03,AUF,reactiva,TME_ROL_08,
AUF_000088,1/24/2025,11,MRA,R03,AUF,planificada,MRA_ROL_06,
AUF_000039,1/24/2025,11,PLC,R02,AUF,reactiva,PLC_ROL_07,
AUF_000080,1/25/2025,11,CHP,R02,AUF,planificada,CHP_ROL_09,
AUF_000040,1/26/2025,11,CHP,R02,AUF,reactiva,CHP_ROL_06,
AUF_000083,1/27/2025,12,PLC,R02,AUF,planificada,PLC_ROL_08,
AUF_000084,1/27/2025,12,TME,R02,AUF,planificada,TME_ROL_01,
AUF_000041,1/28/2025,12,CHP,R02,AUF,reactiva,CHP_ROL_05,
AUF_000089,1/28/2025,12,MRA,R03,AUF,planificada,MRA_ROL_02,
AUF_000095,2/1/2025,12,CHP,R02,AUF,planificada,CHP_ROL_06,
AUF_000100,2/1/2025,12,CHP,R03,AUF,planificada,CHP_ROL_04,
AUF_000102,2/1/2025,12,CHP,R03,AUF,planificada,CHP_ROL_07,
AUF_000104,2/1/2025,12,CHP,R03,AUF,planificada,CHP_ROL_02,
AUF_000091,2/1/2025,12,MRA,R01,AUF,planificada,MRA_ROL_06,
AUF_000094,2/1/2025,12,PLC,R01,AUF,planificada,PLC_ROL_01,
AUF_000096,2/1/2025,12,PLC,R02,AUF,planificada,PLC_ROL_08,
AUF_000090,2/1/2025,12,STM,R01,AUF,planificada,STM_ROL_04,
AUF_000097,2/1/2025,12,STM,R02,AUF,planificada,STM_ROL_02,
AUF_000099,2/1/2025,12,STM,R02,AUF,planificada,STM_ROL_06,
AUF_000093,2/1/2025,12,TME,R01,AUF,planificada,TME_ROL_07,
AUF_000103,2/2/2025,12,MRA,R03,AUF,planificada,MRA_ROL_05,
AUF_000092,2/2/2025,12,PLC,R01,AUF,planificada,PLC_ROL_05,
AUF_000098,2/2/2025,12,STM,R02,AUF,planificada,STM_ROL_05,
AUF_000101,2/2/2025,12,STM,R03,AUF,planificada,STM_ROL_02,
AUF_000042,2/3/2025,12,CHP,R03,AUF,reactiva,CHP_ROL_03,
AUF_000043,2/5/2025,13,MRA,R01,AUF,reactiva,MRA_ROL_03,LC_EVT_01
AUF_000044,2/5/2025,13,MRA,R02,AUF,reactiva,MRA_ROL_04,LC_EVT_02
