id_observacion,fecha,semana,id_area,rol_observador_id,rol_observado_id,tarea_id,tipo_observacion,estado,riesgo_id,is_control_critico,control_critico_id
OBS_000049,11/16/2024,1,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_011,OPG,OPG+,,FALSE,
OBS_000050,11/16/2024,1,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_010,OPG,OPG+,,FALSE,
OBS_000051,11/16/2024,1,MRA,MRA_ROL_07,MRA_ROL_07,MRA_TA_013,OPG,OPG+,,FALSE,
OBS_000052,11/16/2024,1,MRA,MRA_ROL_03,MRA_ROL_03,MRA_TA_010,OPG,OPG-,,FALSE,
OBS_000943,11/16/2024,1,MRA,MRA_ROL_04,MRA_ROL_08,MRA_TA_018,OCC,OCC-,R02,TRUE,R02CM01
OBS_000056,11/16/2024,1,PLC,PLC_ROL_05,PLC_ROL_05,PLC_TA_005,OPG,OPG+,,FALSE,
OBS_000057,11/16/2024,1,PLC,PLC_ROL_12,PLC_ROL_12,PLC_TA_019,OPG,OPG+,,FALSE,
OBS_000058,11/16/2024,1,PLC,PLC_ROL_01,PLC_ROL_01,PLC_TA_017,OPG,OPG+,,FALSE,
OBS_000059,11/16/2024,1,STM,STM_ROL_01,STM_ROL_01,STM_TA_004,OPG,OPG+,,FALSE,
OBS_000060,11/16/2024,1,TME,TME_ROL_08,TME_ROL_08,TME_TA_004,OPG,OPG+,,FALSE,
OBS_000061,11/16/2024,1,TME,TME_ROL_03,TME_ROL_03,TME_TA_001,OPG,OPG+,,FALSE,
OBS_000062,11/16/2024,1,TME,TME_ROL_03,TME_ROL_03,TME_TA_014,OPG,OPG+,,FALSE,
OBS_000066,11/17/2024,1,CHP,CHP_ROL_09,CHP_ROL_09,CHP_TA_002,OPG,OPG+,,FALSE,
OBS_000063,11/17/2024,1,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_021,OPG,OPG+,,FALSE,
OBS_000064,11/17/2024,1,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_011,OPG,OPG+,,FALSE,
OBS_000065,11/17/2024,1,MRA,MRA_ROL_01,MRA_ROL_01,MRA_TA_003,OPG,OPG+,,FALSE,
OBS_000067,11/17/2024,1,PLC,PLC_ROL_07,PLC_ROL_07,PLC_TA_006,OPG,OPG+,,FALSE,
OBS_000068,11/17/2024,1,STM,STM_ROL_07,STM_ROL_07,STM_TA_016,OPG,OPG+,,FALSE,
OBS_000949,11/17/2024,1,STM,STM_ROL_05,STM_ROL_02,STM_TA_007,OCC,OCC+,R03,TRUE,R03CC03
OBS_000069,11/17/2024,1,TME,TME_ROL_05,TME_ROL_05,TME_TA_002,OPG,OPG-,,FALSE,
OBS_000070,11/17/2024,1,TME,TME_ROL_02,TME_ROL_02,TME_TA_011,OPG,OPG+,,FALSE,
OBS_000071,11/17/2024,1,TME,TME_ROL_08,TME_ROL_08,TME_TA_005,OPG,OPG+,,FALSE,
OBS_000075,11/18/2024,2,CHP,CHP_ROL_05,CHP_ROL_05,CHP_TA_019,OPG,OPG+,,FALSE,
OBS_000076,11/18/2024,2,CHP,CHP_ROL_04,CHP_ROL_04,CHP_TA_006,OPG,OPG+,,FALSE,
OBS_000072,11/18/2024,2,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_007,OPG,OPG+,,FALSE,
OBS_000073,11/18/2024,2,MRA,MRA_ROL_06,MRA_ROL_06,MRA_TA_006,OPG,OPG+,,FALSE,
OBS_000074,11/18/2024,2,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_006,OPG,OPG-,,FALSE,
OBS_000077,11/18/2024,2,PLC,PLC_ROL_07,PLC_ROL_07,PLC_TA_014,OPG,OPG+,,FALSE,
OBS_000078,11/18/2024,2,PLC,PLC_ROL_02,PLC_ROL_02,PLC_TA_013,OPG,OPG+,,FALSE,
OBS_000079,11/18/2024,2,PLC,PLC_ROL_03,PLC_ROL_03,PLC_TA_005,OPG,OPG+,,FALSE,
OBS_000963,11/18/2024,2,PLC,PLC_ROL_06,PLC_ROL_07,PLC_TA_014,OCC,OCC-,R03,TRUE,R03CP05
OBS_000080,11/18/2024,2,STM,STM_ROL_01,STM_ROL_01,STM_TA_009,OPG,OPG+,,FALSE,
OBS_000081,11/18/2024,2,TME,TME_ROL_05,TME_ROL_05,TME_TA_011,OPG,OPG+,,FALSE,
OBS_000082,11/18/2024,2,TME,TME_ROL_01,TME_ROL_01,TME_TA_009,OPG,OPG+,,FALSE,
OBS_000961,11/18/2024,2,TME,TME_ROL_02,TME_ROL_06,TME_TA_016,OCC,OCC+,R02,TRUE,R02CP01
OBS_000087,11/19/2024,2,CHP,CHP_ROL_03,CHP_ROL_03,CHP_TA_016,OPG,OPG+,,FALSE,
OBS_000960,11/19/2024,2,CHP,CHP_ROL_04,CHP_ROL_05,CHP_TA_010,OCC,OCC-,R02,TRUE,R02CP02
OBS_000083,11/19/2024,2,MRA,MRA_ROL_04,MRA_ROL_04,MRA_TA_002,OPG,OPG+,,FALSE,
OBS_000084,11/19/2024,2,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_010,OPG,OPG+,,FALSE,
OBS_000085,11/19/2024,2,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_004,OPG,OPG+,,FALSE,
OBS_000086,11/19/2024,2,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_012,OPG,OPG+,,FALSE,
OBS_000088,11/19/2024,2,PLC,PLC_ROL_10,PLC_ROL_10,PLC_TA_012,OPG,OPG+,,FALSE,
OBS_000089,11/19/2024,2,PLC,PLC_ROL_09,PLC_ROL_09,PLC_TA_016,OPG,OPG+,,FALSE,
OBS_000090,11/19/2024,2,PLC,PLC_ROL_11,PLC_ROL_11,PLC_TA_007,OPG,OPG+,,FALSE,
OBS_000091,11/19/2024,2,STM,STM_ROL_02,STM_ROL_02,STM_TA_017,OPG,OPG+,,FALSE,
OBS_000092,11/19/2024,2,STM,STM_ROL_06,STM_ROL_06,STM_TA_003,OPG,OPG+,,FALSE,
OBS_000093,11/19/2024,2,STM,STM_ROL_02,STM_ROL_02,STM_TA_002,OPG,OPG+,,FALSE,
OBS_000094,11/19/2024,2,TME,TME_ROL_04,TME_ROL_04,TME_TA_005,OPG,OPG+,,FALSE,
OBS_000095,11/19/2024,2,TME,TME_ROL_08,TME_ROL_08,TME_TA_004,OPG,OPG+,,FALSE,
OBS_000096,11/19/2024,2,TME,TME_ROL_08,TME_ROL_08,TME_TA_003,OPG,OPG+,,FALSE,
OBS_000962,11/19/2024,2,TME,TME_ROL_05,TME_ROL_01,TME_TA_013,OCC,OCC-,R02,TRUE,R02CC04
OBS_000100,11/20/2024,2,CHP,CHP_ROL_01,CHP_ROL_01,CHP_TA_013,OPG,OPG+,,FALSE,
OBS_000101,11/20/2024,2,CHP,CHP_ROL_01,CHP_ROL_01,CHP_TA_007,OPG,OPG+,,FALSE,
OBS_000102,11/20/2024,2,CHP,CHP_ROL_01,CHP_ROL_01,CHP_TA_014,OPG,OPG+,,FALSE,
OBS_000097,11/20/2024,2,MRA,MRA_ROL_01,MRA_ROL_01,MRA_TA_015,OPG,OPG+,,FALSE,
OBS_000098,11/20/2024,2,MRA,MRA_ROL_07,MRA_ROL_07,MRA_TA_015,OPG,OPG+,,FALSE,
OBS_000099,11/20/2024,2,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_022,OPG,OPG+,,FALSE,
OBS_000103,11/20/2024,2,PLC,PLC_ROL_09,PLC_ROL_09,PLC_TA_002,OPG,OPG+,,FALSE,
OBS_000104,11/20/2024,2,STM,STM_ROL_08,STM_ROL_08,STM_TA_002,OPG,OPG+,,FALSE,
OBS_000105,11/20/2024,2,TME,TME_ROL_03,TME_ROL_03,TME_TA_014,OPG,OPG+,,FALSE,
OBS_000954,11/20/2024,2,TME,TME_ROL_07,TME_ROL_07,TME_TA_011,OCC,OCC-,R01,TRUE,R01CP06
OBS_000109,11/21/2024,2,CHP,CHP_ROL_09,CHP_ROL_09,CHP_TA_005,OPG,OPG+,,FALSE,
OBS_000110,11/21/2024,2,CHP,CHP_ROL_04,CHP_ROL_04,CHP_TA_001,OPG,OPG+,,FALSE,
OBS_000106,11/21/2024,2,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_013,OPG,OPG+,,FALSE,
OBS_000107,11/21/2024,2,MRA,MRA_ROL_03,MRA_ROL_03,MRA_TA_021,OPG,OPG+,,FALSE,
OBS_000108,11/21/2024,2,MRA,MRA_ROL_02,MRA_ROL_02,MRA_TA_006,OPG,OPG+,,FALSE,
OBS_000111,11/21/2024,2,PLC,PLC_ROL_08,PLC_ROL_08,PLC_TA_018,OPG,OPG+,,FALSE,
OBS_000112,11/21/2024,2,PLC,PLC_ROL_07,PLC_ROL_07,PLC_TA_008,OPG,OPG+,,FALSE,
OBS_000956,11/21/2024,2,PLC,PLC_ROL_05,PLC_ROL_10,PLC_TA_001,OCC,OCC+,R01,TRUE,R01CC02
OBS_000113,11/21/2024,2,STM,STM_ROL_03,STM_ROL_03,STM_TA_009,OPG,OPG+,,FALSE,
OBS_000114,11/21/2024,2,STM,STM_ROL_02,STM_ROL_02,STM_TA_002,OPG,OPG+,,FALSE,
OBS_000115,11/21/2024,2,TME,TME_ROL_01,TME_ROL_01,TME_TA_008,OPG,OPG+,,FALSE,
OBS_000116,11/21/2024,2,TME,TME_ROL_02,TME_ROL_02,TME_TA_002,OPG,OPG+,,FALSE,
OBS_000121,11/22/2024,2,CHP,CHP_ROL_06,CHP_ROL_06,CHP_TA_019,OPG,OPG+,,FALSE,
OBS_000122,11/22/2024,2,CHP,CHP_ROL_06,CHP_ROL_06,CHP_TA_008,OPG,OPG+,,FALSE,
OBS_000123,11/22/2024,2,CHP,CHP_ROL_03,CHP_ROL_03,CHP_TA_017,OPG,OPG+,,FALSE,
OBS_000953,11/22/2024,2,CHP,CHP_ROL_09,CHP_ROL_08,CHP_TA_012,OCC,OCC+,R01,TRUE,R01CC06
OBS_000117,11/22/2024,2,MRA,MRA_ROL_01,MRA_ROL_01,MRA_TA_008,OPG,OPG+,,FALSE,
OBS_000118,11/22/2024,2,MRA,MRA_ROL_07,MRA_ROL_07,MRA_TA_015,OPG,OPG+,,FALSE,
OBS_000119,11/22/2024,2,MRA,MRA_ROL_04,MRA_ROL_04,MRA_TA_002,OPG,OPG+,,FALSE,
OBS_000120,11/22/2024,2,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_008,OPG,OPG+,,FALSE,
OBS_000950,11/22/2024,2,MRA,MRA_ROL_04,MRA_ROL_04,MRA_TA_017,OCC,OCC-,R01,TRUE,R01CM01
OBS_000952,11/22/2024,2,MRA,MRA_ROL_02,MRA_ROL_03,MRA_TA_006,OCC,OCC+,R01,TRUE,R01CM02
OBS_000955,11/22/2024,2,MRA,MRA_ROL_05,MRA_ROL_06,MRA_TA_015,OCC,OCC+,R01,TRUE,R01CM01
OBS_000957,11/22/2024,2,MRA,MRA_ROL_05,MRA_ROL_04,MRA_TA_007,OCC,OCC-,R01,TRUE,R01CC01
OBS_000965,11/22/2024,2,MRA,MRA_ROL_06,MRA_ROL_04,MRA_TA_005,OCC,OCC+,R03,TRUE,R03CC05
OBS_000124,11/22/2024,2,PLC,PLC_ROL_05,PLC_ROL_05,PLC_TA_002,OPG,OPG+,,FALSE,
OBS_000125,11/22/2024,2,PLC,PLC_ROL_10,PLC_ROL_10,PLC_TA_006,OPG,OPG+,,FALSE,
OBS_000959,11/22/2024,2,PLC,PLC_ROL_08,PLC_ROL_06,PLC_TA_005,OCC,OCC+,R02,TRUE,R02CC02
OBS_000126,11/22/2024,2,STM,STM_ROL_08,STM_ROL_08,STM_TA_002,OPG,OPG+,,FALSE,
OBS_000127,11/22/2024,2,STM,STM_ROL_07,STM_ROL_07,STM_TA_017,OPG,OPG+,,FALSE,
OBS_000128,11/22/2024,2,TME,TME_ROL_07,TME_ROL_07,TME_TA_005,OPG,OPG+,,FALSE,
OBS_000129,11/22/2024,2,TME,TME_ROL_03,TME_ROL_03,TME_TA_016,OPG,OPG+,,FALSE,
OBS_000132,11/23/2024,2,CHP,CHP_ROL_09,CHP_ROL_09,CHP_TA_017,OPG,OPG+,,FALSE,
OBS_000133,11/23/2024,2,CHP,CHP_ROL_04,CHP_ROL_04,CHP_TA_009,OPG,OPG+,,FALSE,
OBS_000130,11/23/2024,2,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_005,OPG,OPG+,,FALSE,
OBS_000131,11/23/2024,2,MRA,MRA_ROL_01,MRA_ROL_01,MRA_TA_018,OPG,OPG+,,FALSE,
OBS_000951,11/23/2024,2,MRA,MRA_ROL_07,MRA_ROL_02,MRA_TA_021,OCC,OCC+,R01,TRUE,R01CC06
OBS_000134,11/23/2024,2,PLC,PLC_ROL_02,PLC_ROL_02,PLC_TA_015,OPG,OPG+,,FALSE,
OBS_000135,11/23/2024,2,PLC,PLC_ROL_02,PLC_ROL_02,PLC_TA_018,OPG,OPG+,,FALSE,
OBS_000136,11/23/2024,2,PLC,PLC_ROL_04,PLC_ROL_04,PLC_TA_002,OPG,OPG+,,FALSE,
OBS_000137,11/23/2024,2,STM,STM_ROL_01,STM_ROL_01,STM_TA_003,OPG,OPG+,,FALSE,
OBS_000138,11/23/2024,2,STM,STM_ROL_04,STM_ROL_04,STM_TA_016,OPG,OPG+,,FALSE,
OBS_000139,11/23/2024,2,STM,STM_ROL_06,STM_ROL_06,STM_TA_010,OPG,OPG+,,FALSE,
OBS_000140,11/23/2024,2,TME,TME_ROL_04,TME_ROL_04,TME_TA_007,OPG,OPG+,,FALSE,
OBS_000143,11/24/2024,2,CHP,CHP_ROL_06,CHP_ROL_06,CHP_TA_010,OPG,OPG+,,FALSE,
OBS_000144,11/24/2024,2,CHP,CHP_ROL_09,CHP_ROL_09,CHP_TA_012,OPG,OPG+,,FALSE,
OBS_000145,11/24/2024,2,CHP,CHP_ROL_06,CHP_ROL_06,CHP_TA_017,OPG,OPG+,,FALSE,
OBS_000958,11/24/2024,2,CHP,CHP_ROL_09,CHP_ROL_09,CHP_TA_018,OCC,OCC-,R02,TRUE,R02CP03
OBS_000141,11/24/2024,2,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_008,OPG,OPG+,,FALSE,
OBS_000142,11/24/2024,2,MRA,MRA_ROL_04,MRA_ROL_04,MRA_TA_013,OPG,OPG+,,FALSE,
OBS_000964,11/24/2024,2,MRA,MRA_ROL_07,MRA_ROL_01,MRA_TA_010,OCC,OCC-,R03,TRUE,R03CC01
OBS_000146,11/24/2024,2,PLC,PLC_ROL_02,PLC_ROL_02,PLC_TA_016,OPG,OPG+,,FALSE,
OBS_000147,11/24/2024,2,PLC,PLC_ROL_06,PLC_ROL_06,PLC_TA_007,OPG,OPG+,,FALSE,
OBS_000148,11/24/2024,2,STM,STM_ROL_01,STM_ROL_01,STM_TA_019,OPG,OPG+,,FALSE,
OBS_000149,11/24/2024,2,STM,STM_ROL_03,STM_ROL_03,STM_TA_001,OPG,OPG+,,FALSE,
OBS_000150,11/24/2024,2,TME,TME_ROL_07,TME_ROL_07,TME_TA_010,OPG,OPG+,,FALSE,
OBS_000151,11/24/2024,2,TME,TME_ROL_06,TME_ROL_06,TME_TA_008,OPG,OPG+,,FALSE,
OBS_000152,11/24/2024,2,TME,TME_ROL_04,TME_ROL_04,TME_TA_016,OPG,OPG+,,FALSE,
OBS_000157,11/25/2024,3,CHP,CHP_ROL_08,CHP_ROL_08,CHP_TA_006,OPG,OPG+,,FALSE,
OBS_000158,11/25/2024,3,CHP,CHP_ROL_09,CHP_ROL_09,CHP_TA_002,OPG,OPG+,,FALSE,
OBS_000159,11/25/2024,3,CHP,CHP_ROL_02,CHP_ROL_02,CHP_TA_002,OPG,OPG+,,FALSE,
OBS_000153,11/25/2024,3,MRA,MRA_ROL_06,MRA_ROL_06,MRA_TA_009,OPG,OPG+,,FALSE,
OBS_000154,11/25/2024,3,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_021,OPG,OPG+,,FALSE,
OBS_000155,11/25/2024,3,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_006,OPG,OPG+,,FALSE,
OBS_000156,11/25/2024,3,MRA,MRA_ROL_06,MRA_ROL_06,MRA_TA_006,OPG,OPG+,,FALSE,
OBS_000160,11/25/2024,3,PLC,PLC_ROL_03,PLC_ROL_03,PLC_TA_008,OPG,OPG-,,FALSE,
OBS_000161,11/25/2024,3,PLC,PLC_ROL_03,PLC_ROL_03,PLC_TA_001,OPG,OPG+,,FALSE,
OBS_000162,11/25/2024,3,STM,STM_ROL_06,STM_ROL_06,STM_TA_002,OPG,OPG+,,FALSE,
OBS_000163,11/25/2024,3,STM,STM_ROL_08,STM_ROL_08,STM_TA_016,OPG,OPG-,,FALSE,
OBS_000966,11/25/2024,3,STM,STM_ROL_02,STM_ROL_04,STM_TA_014,OCC,OCC-,R01,TRUE,R01CM03
OBS_000164,11/25/2024,3,TME,TME_ROL_07,TME_ROL_07,TME_TA_001,OPG,OPG-,,FALSE,
OBS_000165,11/25/2024,3,TME,TME_ROL_05,TME_ROL_05,TME_TA_010,OPG,OPG-,,FALSE,
OBS_000166,11/25/2024,3,TME,TME_ROL_07,TME_ROL_07,TME_TA_006,OPG,OPG+,,FALSE,
OBS_000979,11/25/2024,3,TME,TME_ROL_02,TME_ROL_01,TME_TA_010,OCC,OCC+,R03,TRUE,R03CP06
OBS_000169,11/26/2024,3,CHP,CHP_ROL_02,CHP_ROL_02,CHP_TA_012,OPG,OPG+,,FALSE,
OBS_000170,11/26/2024,3,CHP,CHP_ROL_08,CHP_ROL_08,CHP_TA_019,OPG,OPG+,,FALSE,
OBS_000167,11/26/2024,3,MRA,MRA_ROL_03,MRA_ROL_03,MRA_TA_008,OPG,OPG+,,FALSE,
OBS_000168,11/26/2024,3,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_012,OPG,OPG+,,FALSE,
OBS_000171,11/26/2024,3,PLC,PLC_ROL_04,PLC_ROL_04,PLC_TA_010,OPG,OPG+,,FALSE,
OBS_000172,11/26/2024,3,PLC,PLC_ROL_02,PLC_ROL_02,PLC_TA_002,OPG,OPG+,,FALSE,
OBS_000173,11/26/2024,3,PLC,PLC_ROL_07,PLC_ROL_07,PLC_TA_013,OPG,OPG+,,FALSE,
OBS_000174,11/26/2024,3,STM,STM_ROL_01,STM_ROL_01,STM_TA_006,OPG,OPG-,,FALSE,
OBS_000974,11/26/2024,3,STM,STM_ROL_02,STM_ROL_01,STM_TA_008,OCC,OCC+,R02,TRUE,R02CC03
OBS_000175,11/26/2024,3,TME,TME_ROL_06,TME_ROL_06,TME_TA_004,OPG,OPG+,,FALSE,
OBS_000176,11/26/2024,3,TME,TME_ROL_01,TME_ROL_01,TME_TA_008,OPG,OPG+,,FALSE,
OBS_000181,11/27/2024,3,CHP,CHP_ROL_03,CHP_ROL_03,CHP_TA_013,OPG,OPG+,,FALSE,
OBS_000182,11/27/2024,3,CHP,CHP_ROL_05,CHP_ROL_05,CHP_TA_006,OPG,OPG+,,FALSE,
OBS_000183,11/27/2024,3,CHP,CHP_ROL_07,CHP_ROL_07,CHP_TA_018,OPG,OPG+,,FALSE,
